	Quotes	Themes
101	Alas! Had it not been for my beloved violin, I scarcely can conceive how I could have endured the long years of bondage. It […] relieved me of many days’ labor in the field […] and oftentimes led me away from the presence of a hard master. […] It was my companion—the friend of my bosom—triumphing loudly when I was joyful, and uttering its soft, melodious consolations when I was sad. Often […] it would sing me a song of peace.	"[""racism-and-slavery"", ""christianity"", ""the-power-of-music""]"
102	No man who has never been placed in such a situation, can comprehend the thousand obstacles thrown in the way of the flying slave. Every white man’s hand is raised against him—the patrollers are watching for him—the hounds are ready to follow on his track—and the nature of the country is such as renders it impossible to pass through it with any safety.	"[""racism-and-slavery"", ""truth-and-justice""]"
103	It was the Sabbath of the Lord. The fields smiled in the warm sunlight—the birds chirped merrily amidst the foliage of the trees—peace and happiness seemed to reign everywhere, save in the bosoms of Epps and his panting victim and the silent witnesses around him. The tempestuous emotions that were raging there were little in harmony with the calm and quiet beauty of the day. I could look on Epps only with unutterable loathing and abhorrence, and thought within myself—“Thou devil, sooner or later, somewhere in the course of eternal justice, thou shalt answer for this sin!”	"[""racism-and-slavery"", ""truth-and-justice"", ""christianity""]"
104	If they are baboons, or stand no higher in the scale of intelligence than such animals, you and men like you will have to answer for it. There’s a sin, a fearful sin, resting on this nation, that will not go unpunished forever. There will be a reckoning yet—yes, Epps, there’s a day coming that will burn as an oven. It may be sooner or it may be later, but it’s a coming as sure as the Lord is just. 	"[""racism-and-slavery"", ""truth-and-justice"", ""christianity""]"
105	The secret was out—the mystery was unraveled. Through the thick, black cloud, amid whose dark and dismal shadows I had walked twelve years, broke the star that was to light me back to liberty.	"[""racism-and-slavery"", ""truth-and-justice"", ""christianity""]"
106	I was then offered as a witness, but, objection being made, the court decided my evidence inadmissible. It was rejected solely on the ground that I was a colored man—the fact of my being a free citizen of New-York not being disputed. […] Burch himself was offered as a witness in his own behalf. It was contended by counsel for the people, that such testimony should not be allowed—that it was in contravention of every rule of evidence, and if permitted would defeat the ends of justice. His testimony, however, was received by the court!	"[""racism-and-slavery"", ""truth-and-justice""]"
107	[King George III] had denounced the leaders of the uprising for having American independence as their true objective, something those leaders themselves had not yet openly declared.	"[""leadership"", ""idealism-vs-practicality"", ""colonial-society"", ""british-society""]"
108	"There had been sickness aplenty from the start, deadly ""camp fever,"" which grew worse as summer went on. Anxious mothers and wives from the surrounding towns and countryside came to nurse the sick and dying."	"[""idealism-vs-practicality"", ""colonial-society""]"
109	But for all his raw courage in the heat and tumult of war, Billy Howe could be, in the intervals between actions, slow-moving, procrastinating, negligent in preparing for action, interested more in his own creature comforts and pleasures.	"[""leadership"", ""british-society""]"
110	"Furthermore, as he knew, discipline was hardly improved, and too many of the new troops were raw recruits as unruly as those of the summer before. Some who were lauded as shining examples of patriotism looked hardly fit for battle, like the Connecticut unit comprised entirely of ""aged gentlemen."""	"[""military-strategy"", ""leadership"", ""idealism-vs-practicality""]"
111	Remember officers and soldiers that you are free men, fighting for the blessings of liberty- that slavery will be your portion, and that of your posterity, if you do not acquit yourselves like men.	"[""leadership"", ""idealism-vs-practicality""]"
112	There was no ringing call for valor in the cause of country or the blessings of liberty, as Washington had exhorted his troops at Brooklyn, only a final reminder of the effectiveness of bayonets.	"[""leadership"", ""idealism-vs-practicality""]"
113	"Possibly, Washington was more hurt than angry. Later he would tell Reed, ""I was hurt not because I thought my judgment wronged by the expressions contained in it [the letter], but because the same sentiments were not communicated immediately to myself."" Possibly the charge of ""fatal indecision of mind"" also hurt deeply, because Washington knew it to be true."	"[""leadership""]"
114	She's one of these cash-register-watchers, a witch about fifty with rouge on her cheekbones and no eyebrows, and I know it made her day to trip me up. She'd been watching cash registers forty years and probably never seen a mistake before.	"[""appearances-and-inner-lives""]"
115	My brain was drowning in grease. But that makes the whole thing sound weirdo and funny, like my brain was a giant French fry, so it seems more serious and poetic and accurate to say, “I was born with water on the brain.”	"[""identity-belonging-and-coming-of-age"", ""drawing-writing-and-junior-s-cartoons""]"
116	My parents came from poor people who came from poor people who came from poor people, all the way back to the very first poor people. Adam and Eve covered their privates with fig leaves; the first Indians covered their privates with their tiny hands.	"[""racism-poverty-and-alcoholism""]"
117	“It’s not like anybody’s going to notice if you go away,” he said. “So you might as well gut it out.”	"[""identity-belonging-and-coming-of-age""]"
118	After high school, my sister just froze. Didn’t go to college, didn’t get a job. Didn’t do anything. Kind of sad, I guess. But she is also beautiful and strong and funny. She is the prettiest and strongest and funniest person who ever spent twenty-three hours a day alone in a basement.	"[""identity-belonging-and-coming-of-age"", ""overlapping-opposites"", ""racism-poverty-and-alcoholism"", ""hope-dreams-and-loss""]"
119	“You’ve been fighting since you were born,” he said. “You fought off that brain surgery. You fought off those seizures. You fought off all the drunks and drug addicts. You kept your hope. And now, you have to take your hope and go somewhere where other people have hope.”	"[""identity-belonging-and-coming-of-age"", ""racism-poverty-and-alcoholism"", ""hope-dreams-and-loss""]"
120	“You always thought you were better than me,” he yelled. “No, no, I don’t think I’m better than anybody. I think I’m worse than everybody else.” “Why are you leaving?” “I have to go. I’m going to die if I don’t leave.”	"[""identity-belonging-and-coming-of-age"", ""racism-poverty-and-alcoholism"", ""hope-dreams-and-loss""]"
121	“My name is Junior,” I said. “And my name is Arnold. I’m Junior and Arnold. I’m both.” I felt like two different people inside of one body. No, I felt like a magician slicing myself in half, with Junior living on the north side of the Spokane River and Arnold living on the south.	"[""identity-belonging-and-coming-of-age"", ""overlapping-opposites""]"
122	“Hey buddy,” I would have said. “How do I make a beautiful white girl fall in love with me?” “Well, buddy,” he would have said. “The first thing you have to do is change the way you look, the way you talk, and the way you walk. And then she’ll think you’re her fricking Prince Charming.”	"[""identity-belonging-and-coming-of-age"", ""hope-dreams-and-loss""]"
123	There are all kinds of addicts, I guess. We all have pain. And we all look for ways to make the pain go away.	"[""racism-poverty-and-alcoholism""]"
124	Traveling between Reardan and Wellpinit, between the little white town and the reservation, I always felt like a stranger. I was half Indian in one place and half white in the other. It was like being Indian was my job, but it was only a part-time job. And it didn’t pay well at all.	"[""identity-belonging-and-coming-of-age"", ""overlapping-opposites""]"
125	I mean, the thing is, plenty of Indians have died because they were drunk. And plenty of drunken Indians have killed other drunken Indians. But my grandmother had never drunk alcohol in her life. Not one drop. That’s the rarest kind of Indian in the world.	"[""racism-poverty-and-alcoholism"", ""hope-dreams-and-loss""]"
126	Two thousand Indians laughed at the same time. … It was the most glorious noise I’d ever heard. And I realized that, sure, Indians were drunk and sad and displaced and crazy and mean, but dang, we knew how to laugh.  When it comes to death, we know that laughter and tears are pretty much the same thing.	"[""identity-belonging-and-coming-of-age"", ""overlapping-opposites"", ""racism-poverty-and-alcoholism"", ""hope-dreams-and-loss""]"
127	“I used to think the world was broken down by tribes,” I said. “By black and white. By Indian and white. But I know that isn’t true. The world is only broken into two tribes: The people who are assholes and the people who are not.”	"[""identity-belonging-and-coming-of-age""]"
128	We had defeated the enemy! We had defeated the champions! We were David who’d thrown a stone into the brain of Goliath! And then I realized something. I realized that my team, the Reardan Indians, was Goliath.	"[""overlapping-opposites"", ""racism-poverty-and-alcoholism"", ""confessions-revenge-and-forgiveness""]"
129	Gordy gave me this book by a Russian dude named Tolstoy, who wrote: “Happy families are all alike; every unhappy family is unhappy in its own way.” Well, I hate to argue with a Russian genius, but Tolstoy didn’t know Indians. And he didn’t know that all Indian families are unhappy for the same exact reason: the fricking booze.	"[""racism-poverty-and-alcoholism"", ""drawing-writing-and-junior-s-cartoons""]"
130	I realized that, sure, I was a Spokane Indian. I belonged to that tribe. But I also belonged to the tribe of American immigrants. And to the tribe of basketball players. And to the tribe of bookworms. And to the tribe of cartoonists. And to the tribe of chronic masturbators. And the tribe of teenage boys. And the tribe of small-town kids. And the tribe of Pacific Northwesterners. And the tribe of tortilla-chips-and-salsa lovers. And the tribe of poverty. And the tribe of funeral-goers. And the tribe of beloved sons. And the tribe of boys who really missed their best friends. It was a huge realization. And that’s when I knew that I was going to be okay.	"[""identity-belonging-and-coming-of-age"", ""overlapping-opposites"", ""hope-dreams-and-loss"", ""drawing-writing-and-junior-s-cartoons""]"
131	“You’re an old-time nomad,” Rowdy said. “You’re going to keep moving all over the world in search of food and water and grazing land. That’s pretty cool.”	"[""identity-belonging-and-coming-of-age"", ""confessions-revenge-and-forgiveness"", ""hope-dreams-and-loss""]"
